Период,Сотрудник,Вид учета времени,Дни,Организация
01.01.2022,AKOR,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,AIZA,Выходные дни,1.00,"ОП ""Астрахань"""
01.01.2022,ILKO,Выходные дни,1.00,"ОП ""Астрахань"""
01.01.2022,KOSK,Выходные дни,1.00,"ОП ""Астрахань"""
01.01.2022,VAKZ,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,OLTA,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,ALBO,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,RUGL,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,ANDA,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,ALKO,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,EGSO,Выходные дни,1.00,"ОП ""Азов"""
01.01.2022,MAIS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,KOAN,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,PAZH,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,EVZU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,DKOR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ALKE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,AUPR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ANSV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ATUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SERS,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,EVAB,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ALZI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ALIG,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SELE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,AXSI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,GETR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,YUTK,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SEVE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,RKAR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SKOL,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,VAKR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SEKU,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,RUPR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ACHU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,MITA,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ALGA,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,DMPI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ANFO,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,MABY,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,AKUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,IVSI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,YEAV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,SAST,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,DESE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
01.01.2022,DMMO,Выходные дни,1.00,"ОП ""Кольская"""
01.01.2022,NISO,Выходные дни,1.00,"ОП ""Кольская"""
01.01.2022,MKRS,Выходные дни,1.00,"ОП ""Кольская"""
02.01.2022,AKOR,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,AIZA,Выходные дни,1.00,"ОП ""Астрахань"""
02.01.2022,ILKO,Выходные дни,1.00,"ОП ""Астрахань"""
02.01.2022,KOSK,Выходные дни,1.00,"ОП ""Астрахань"""
02.01.2022,VAKZ,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,OLTA,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,ALBO,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,RUGL,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,ANDA,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,ALKO,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,EGSO,Выходные дни,1.00,"ОП ""Азов"""
02.01.2022,MAIS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,KOAN,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,PAZH,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,EVZU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,DKOR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ALKE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,AUPR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ANSV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ATUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SERS,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,EVAB,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ALZI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ALIG,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SELE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,AXSI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,GETR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,YUTK,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SEVE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,RKAR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SKOL,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,VAKR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SEKU,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,RUPR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ACHU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,MITA,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ALGA,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,DMPI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ANFO,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,MABY,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,AKUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,IVSI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,YEAV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,SAST,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,DESE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
02.01.2022,DMMO,Выходные дни,1.00,"ОП ""Кольская"""
02.01.2022,NISO,Выходные дни,1.00,"ОП ""Кольская"""
02.01.2022,MKRS,Выходные дни,1.00,"ОП ""Кольская"""
03.01.2022,AKOR,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,AIZA,Выходные дни,1.00,"ОП ""Астрахань"""
03.01.2022,ILKO,Выходные дни,1.00,"ОП ""Астрахань"""
03.01.2022,KOSK,Выходные дни,1.00,"ОП ""Астрахань"""
03.01.2022,VAKZ,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,OLTA,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,ALBO,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,RUGL,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,ANDA,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,ALKO,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,EGSO,Выходные дни,1.00,"ОП ""Азов"""
03.01.2022,MAIS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,KOAN,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,PAZH,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,EVZU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,DKOR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,ALKE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,AUPR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,ANSV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,ATUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,SERS,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,EVAB,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,ALZI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,ALIG,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
03.01.2022,SELE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
